<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR;IATR;0.2815;0.2102;0.1782;0.1598;0.1704
20240411;000000;0.12298;0.1238;0.12086;0.12166;1502610000;0.00294;0.003947932;;;;;
20240412;000000;0.12164;0.1227;0.12088;0.12142;1965320000;0.00182;0.00319787;;;;;
20240415;000000;0.12148;0.124;0.12148;0.12332;2158650000;0.00252;0.002791242;;;;;
20240416;000000;0.1236;0.124;0.1221;0.12322;1895760000;0.0019;0.002764476;;;;;
20240417;000000;0.1234;0.12518;0.1227;0.12336;3265920000;0.00248;0.002294914;;;;;
20240418;000000;0.12338;0.12338;0.12116;0.1219;1844360000;0.00222;0.002338376;;;;;
20240419;000000;0.1219;0.12294;0.12146;0.12204;1578340000;0.00148;0.00219763;;;;;
20240422;000000;0.1228;0.1238;0.12262;0.12266;1853880000;0.00118;0.002058228;;;;;
20240423;000000;0.12268;0.1234;0.121;0.12174;1525880000;0.0024;0.001758934;;;;;
20240424;000000;0.12172;0.12234;0.12024;0.12066;1449550000;0.0021;0.00196472;;;;;
20240425;000000;0.12054;0.121;0.11954;0.1204;1313220000;0.00146;0.001920698;;;;;
20240426;000000;0.1205;0.12618;0.11966;0.12456;7864390000;0.00652;0.001720846;;;;;
20240427;000000;0.125;0.12576;0.123;0.12382;2995850000;0.00276;0.003101084;;;;;
20240429;000000;0.12432;0.1294;0.12314;0.12844;6998240000;0.00626;0.003152156;;;;;
20240430;000000;0.1284;0.13218;0.12836;0.13106;10501800000;0.00382;0.004095354;;;;;
20240502;000000;0.13144;0.1319;0.12764;0.12822;7478260000;0.00426;0.004173694;;;;;
20240503;000000;0.12822;0.1315;0.1265;0.12874;4195030000;0.005;0.004669742;;;;;
20240506;000000;0.1292;0.13282;0.1292;0.13098;5527340000;0.00362;0.004454328;;;;;
20240507;000000;0.13054;0.13274;0.129;0.13034;3133000000;0.00374;0.004506302;;;;;
20240508;000000;0.13074;0.13074;0.12706;0.12784;3506940000;0.00368;0.00403641;;;;;
20240510;000000;0.12808;0.12922;0.1278;0.12874;964960000;0.00142;0.003992056;;;;;
20240513;000000;0.12996;0.12996;0.12654;0.12824;2576160000;0.00342;0.00327021;;;;;
20240514;000000;0.12824;0.12844;0.1234;0.12458;9055870000;0.00504;0.00313149;;;;;
20240515;000000;0.12462;0.12656;0.124;0.12498;4565800000;0.00256;0.003616048;;;;;
20240516;000000;0.1251;0.1257;0.124;0.12484;2122430000;0.0017;0.00324348;;;;;
20240517;000000;0.12452;0.12618;0.1238;0.1242;2038430000;0.00238;0.002703274;;;;;
20240520;000000;0.1242;0.12454;0.12036;0.1204;4447260000;0.00418;0.002871662;;;;;
20240521;000000;0.12022;0.12096;0.11602;0.11792;7181940000;0.00494;0.00324779;;;;;
20240522;000000;0.11798;0.12094;0.11796;0.11868;3807660000;0.00298;0.003401246;;;;;
20240523;000000;0.11878;0.12034;0.11732;0.11926;2006620000;0.00302;0.003292138;;;;;
20240524;000000;0.11924;0.11984;0.11394;0.11468;5388690000;0.0059;0.00343035;;;;;
20240527;000000;0.11572;0.11572;0.1075;0.111;5936720000;0.00822;0.004328374;;;;;
20240528;000000;0.11098;0.1128;0.10544;0.10782;7969260000;0.00736;0.005410254;;;;;
20240529;000000;0.1078;0.10848;0.10324;0.10644;5679580000;0.00524;0.005841452;;;;;
20240530;000000;0.10678;0.10834;0.1044;0.10528;4486220000;0.00394;0.005944364;;;;;
20240531;000000;0.10534;0.10638;0.10016;0.1011;5061080000;0.00622;0.005841026;;;;;
20240603;000000;0.10148;0.10374;0.098;0.1023;4996490000;0.00574;0.006089702;;;;;
