<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20240708;000000;1223.2;1254;1209;1221;212011;45
20240709;000000;1219.4;1223;1162;1167;129254;61
20240710;000000;1170;1183.4;1125;1131;229169;58.4
20240711;000000;1118.2;1262;1102.8;1236.2;400081;159.2
20240712;000000;1329.4;1398.8;1253;1339.8;697033;145.8
20240715;000000;1360;1377;1269;1280.6;320198;108
20240716;000000;1280;1314.8;1220;1301.2;273041;94.8
20240717;000000;1316;1329.8;1280.6;1292.4;136758;49.2
20240718;000000;1311.4;1340;1293.8;1332;156763;46.2
20240719;000000;1365.2;1395;1332;1394.8;399226;63
20240722;000000;1415.2;1514.6;1410.2;1497;809415;104.4
20240723;000000;1512;1523;1433.2;1465;422485;89.8
20240724;000000;1466.2;1475;1421.6;1461;179190;53.4
20240725;000000;1461;1545;1442.6;1520.2;785480;102.4
20240726;000000;1511;1545;1400.8;1470.2;686854;144.2
20240729;000000;1484.2;1492.6;1368.8;1415.6;375574;123.8
20240730;000000;1425.2;1505;1416;1491;501237;89
20240731;000000;1499;1503;1456.4;1473;160670;46.6
20240801;000000;1475.8;1493;1450;1467;172198;43
20240802;000000;1463.4;1481;1418.6;1440;276176;62.4
20240805;000000;1416;1445;1360;1397.4;394250;85
20240806;000000;1418.2;1447;1397;1430.4;276264;50
20240807;000000;1435.4;1465;1404;1449.2;267726;61
20240808;000000;1453.8;1463.6;1401.2;1421.4;244799;62.4
20240809;000000;1415.2;1437.8;1401.2;1420.6;98576;36.6
20240812;000000;1418.2;1429.8;1405;1416.6;118602;24.8
20240813;000000;1427;1463;1415;1454.2;248024;48
20240814;000000;1465;1475.8;1415.4;1445;191825;60.4
20240815;000000;1452;1525;1380.8;1385.6;1032100;144.2
20240816;000000;1388.6;1401.8;1300;1321;489343;101.8
20240819;000000;1320.8;1336.8;1253.8;1265.6;273841;83
20240820;000000;1262;1318.4;1260.6;1289.2;291112;57.8
20240821;000000;1297;1299;1266;1277.2;126119;33
20240822;000000;1281;1283.2;1171.2;1211.4;229686;112
20240823;000000;1216.4;1221;1150;1194;263167;71
20240826;000000;1315;1315;1221.6;1281.4;224765;93.4
20240827;000000;1299.8;1300;1214.6;1228;173424;85.4
20240828;000000;1249.2;1268.4;1183;1252.8;261048;85.4
20240829;000000;1244.2;1252.6;1200;1210.6;142247;52.6
20240830;000000;1213;1218;1160;1161.2;151746;58
20240902;000000;1156.8;1158;1084;1097.2;271782;74
20240903;000000;1119.8;1139.2;1056;1104.8;227177;83.2
20240904;000000;1106;1229.8;1100;1217.8;213379;129.8
20240905;000000;1217.8;1221;1152.8;1172.8;178192;68.2
20240906;000000;1175.8;1213.2;1160.2;1192.2;123026;53
20240909;000000;1214.4;1308.8;1206.2;1299.6;506794;102.6
20240910;000000;1310;1314.6;1231.2;1276;297870;83.4
20240911;000000;1269.2;1285.2;1235;1244.8;168744;50.2
20240912;000000;1244.2;1265;1217.6;1253.2;128740;47.4
20240913;000000;1240.4;1295;1220;1280;362111;75
20240916;000000;1296.8;1339;1271.4;1325;780571;67.6
