<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20240613;000000;17.005;18.1;16.38;17.985;25038100;1.72
20240614;000000;18.04;18.16;17.825;18.125;12044000;0.335
20240617;000000;18.125;18.18;17.72;17.82;9716400;0.46
20240618;000000;17.85;17.85;17.33;17.415;16835900;0.52
20240619;000000;17.42;17.49;16.65;16.76;29133800;0.84
20240620;000000;16.865;17.365;16.765;17.33;17853300;0.6
20240621;000000;17.39;17.595;17.11;17.165;9215800;0.485
20240624;000000;17.02;17.085;16.65;16.735;26297400;0.435
20240625;000000;16.765;17.115;16.42;17.07;23872500;0.695
20240626;000000;17.08;17.3;17.01;17.25;13559900;0.29
20240627;000000;17.28;17.29;16.85;16.95;12930400;0.44
20240628;000000;16.92;16.965;16.815;16.9;8841000;0.15
20240701;000000;16.95;17.1;16.755;16.885;17951500;0.345
20240702;000000;16.91;16.93;16.635;16.79;24323000;0.295
20240703;000000;16.83;16.845;16.22;16.435;30802500;0.625
20240704;000000;16.44;16.74;16.055;16.565;52396600;0.685
20240705;000000;16.535;16.8;16.31;16.6;32122200;0.49
20240708;000000;15.645;15.995;15.63;15.7;49011400;0.365
20240709;000000;15.695;15.7;14.76;15;73721800;0.94
20240710;000000;15.005;15.23;14.015;14.2;58553600;1.215
20240711;000000;14.3;15.32;14.2;15.045;128815600;1.12
20240712;000000;15.135;15.135;14.17;14.39;77457500;0.965
20240715;000000;14.42;14.45;13.68;14.06;96017200;0.77
20240716;000000;13.975;14.24;13.75;14.16;68265600;0.49
20240717;000000;14.145;14.355;14;14.09;40345700;0.355
20240718;000000;14.095;14.88;13.915;14.865;59998500;0.965
20240719;000000;14.92;15.53;14.575;15.355;63498000;0.955
20240722;000000;15.405;15.79;15.27;15.515;54371800;0.52
20240723;000000;15.47;15.55;15.075;15.5;32577900;0.475
20240724;000000;15.485;15.545;15.27;15.32;17528900;0.275
20240725;000000;15.385;15.665;15.34;15.365;20524900;0.325
20240726;000000;15.47;15.7;14.715;14.82;59257300;0.985
20240729;000000;14.7;14.79;14.39;14.455;29526100;0.4
20240730;000000;14.515;14.935;14.475;14.865;17326600;0.46
20240731;000000;14.885;14.975;14.61;14.855;15550500;0.365
20240801;000000;14.86;15.065;14.725;14.775;16764800;0.34
20240802;000000;14.77;14.795;14.355;14.44;24541600;0.44
20240805;000000;14.285;14.325;14;14.145;29806000;0.325
20240806;000000;14.315;14.425;14.04;14.17;13010100;0.385
20240807;000000;14.17;14.65;14.05;14.65;19824300;0.6
20240808;000000;14.665;14.71;14.25;14.375;11051900;0.46
20240809;000000;14.375;14.6;14.215;14.4;10110100;0.385
20240812;000000;14.455;14.5;14.3;14.445;10569200;0.2
20240813;000000;14.445;14.65;14.42;14.595;10866100;0.23
20240814;000000;14.575;14.66;14.28;14.315;10909700;0.38
20240815;000000;14.29;14.37;14.075;14.185;22119800;0.295
20240816;000000;14.175;14.26;14.045;14.06;14825700;0.215
20240819;000000;14.1;14.165;13.88;13.98;29535700;0.285
20240820;000000;14.01;14.35;13.975;14.135;21599700;0.375
20240821;000000;14.135;14.2;13.98;14.01;19779200;0.22
20240822;000000;14.01;14.115;13.75;13.9;27473600;0.365
20240823;000000;13.88;13.94;13.31;13.665;37396700;0.63
20240826;000000;14.005;14.24;13.535;13.69;39223000;0.705
20240827;000000;13.7;13.78;13.25;13.46;22255300;0.53
20240828;000000;13.46;13.735;13.325;13.63;21226900;0.41
20240829;000000;13.62;13.63;13.25;13.395;19037600;0.38
20240830;000000;13.4;13.475;12.855;12.99;21269400;0.62
20240902;000000;12.765;12.99;12.53;12.695;26290900;0.46
20240903;000000;12.7;13.19;12.56;13.015;19090800;0.63
20240904;000000;13.015;13.5;13.01;13.305;30691200;0.49
20240905;000000;13.51;13.815;13.2;13.24;28505400;0.615
20240906;000000;13.33;13.45;13.005;13.25;12554000;0.445
20240909;000000;13.36;13.85;13.34;13.79;25340500;0.51
20240910;000000;13.965;14.035;13.45;13.595;23516900;0.585
20240911;000000;13.515;13.73;13.01;13.055;34643500;0.72
20240912;000000;13.12;13.125;12.7;12.89;37990700;0.425
20240913;000000;12.985;13.49;12.7;13.265;39988400;0.79
20240916;000000;13.335;13.945;13.14;13.87;41664200;0.805
20240917;000000;13.94;14.195;13.73;14.045;30903600;0.465
20240918;000000;14.14;14.195;13.8;13.8;13073400;0.395
20240919;000000;13.85;14.14;13.75;13.935;16292300;0.39
20240920;000000;14.015;14.2;13.915;14.125;22663000;0.285
20240923;000000;14.31;14.65;14.3;14.525;32827100;0.35
20240924;000000;14.6;14.6;14.3;14.485;21181300;0.3
20240925;000000;14.44;14.55;13.965;13.98;46917500;0.585
20240926;000000;13.955;14.1;13.72;13.96;16111300;0.38
20240927;000000;14.01;14.05;13.925;14.025;20800000;0.125
20240930;000000;14.04;14.18;13.975;13.99;26839200;0.205
20241001;000000;13.925;14.065;13.71;13.885;38894200;0.355
20241002;000000;13.91;13.97;13.525;13.595;19351200;0.445
20241003;000000;13.59;13.99;13.535;13.815;21283500;0.455
20241004;000000;13.93;13.99;13.58;13.685;28751500;0.41
20241007;000000;13.68;13.77;13.335;13.5;16247400;0.435
20241008;000000;13.54;13.68;13.4;13.5;10567700;0.28
20241009;000000;13.605;13.605;13.3;13.45;11356400;0.305
20241010;000000;13.495;13.63;13.455;13.52;6627900;0.175
20241011;000000;13.52;13.585;13.33;13.35;8602300;0.255
20241014;000000;13.4;13.72;13.225;13.55;16791600;0.495
20241015;000000;13.57;13.645;13.44;13.53;13450000;0.205
20241016;000000;13.565;13.69;13.42;13.47;8149900;0.27
20241017;000000;13.515;13.675;13.435;13.59;8709100;0.24
