<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20241021;000000;57.67;58.45;57.17;57.56;21945140;1.28
20241022;000000;57.55;57.77;56.82;56.96;11799870;0.95
20241023;000000;56.91;57.39;56.24;56.48;15504410;1.15
20241024;000000;56.41;57.2;56.02;57.07;12354120;1.18
20241025;000000;57.2;58.09;55.36;55.8;44343090;2.73
20241028;000000;55;55.19;53.12;53.92;39567090;2.07
20241029;000000;53.94;56.79;53.53;56.11;53108100;3.26
20241030;000000;56.34;57.39;53.4;53.42;61420260;3.99
20241031;000000;53.34;54.74;53.2;54.22;48611510;1.54
20241101;000000;54.2;55.05;53.7;54.97;30461070;1.35
20241102;000000;54.85;56;54.62;55.99;16753640;1.38
20241105;000000;56.05;56.08;55;55.33;15964960;1.08
20241106;000000;57.9;59.79;56.59;56.93;100961380;3.2
20241107;000000;56.92;59.2;56.13;59.02;42564720;3.07
20241108;000000;59.31;60.89;58.34;60.73;56554650;2.55
20241111;000000;61.27;62.39;61.01;62.03;52694010;1.38
20241112;000000;61.95;61.95;60.68;61.03;33319050;1.27
20241113;000000;60.68;62.08;60.6;61.16;24011640;1.48
20241114;000000;61.03;61.85;60.88;61.53;21085130;0.97
20241115;000000;61.44;63.86;61.35;63.86;72254890;2.51
20241118;000000;62.06;63;61.53;62.08;37022310;1.47
20241119;000000;62;62.39;59.21;59.95;49710820;3.18
20241120;000000;60.17;60.57;57.1;58.15;49930000;3.47
20241121;000000;58.11;60;57.06;59.7;40965570;2.94
20241122;000000;59.6;60;58.2;58.82;27673240;1.8
20241125;000000;58.68;59.12;56.71;57.55;29876150;2.41
20241126;000000;57.41;58.33;56;56.6;34669080;2.33
20241127;000000;56.6;57.48;54.01;56.79;53734680;3.47
20241128;000000;56.8;56.99;54.23;54.88;50058890;2.76
20241129;000000;54.71;55.13;52.02;52.15;90327780;3.11
20241202;000000;52.42;52.97;50.1;50.51;64256980;2.87
20241203;000000;50.5;50.5;48.86;49.18;28393540;1.64
