<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20241022;000000;108.14;109.36;107.22;107.75;12029220;2.14
20241023;000000;107.42;107.42;103.67;103.81;20952895;3.75
20241024;000000;103.51;105.34;102.44;104.59;19571715;2.9
20241025;000000;104.35;105;100.28;102.33;48563569;4.72
20241028;000000;100.31;100.96;96.57;97.6;43539205;4.39
20241029;000000;97;102.74;95.1;101.12;45483546;7.64
20241030;000000;101.49;102.23;97.4;97.89;41166321;4.83
20241031;000000;97.19;98.9;96;98.2;35949606;2.9
20241101;000000;98.1;100.87;97.05;100.56;24555823;3.82
20241102;000000;100.79;104.5;99.95;103.96;14733815;4.55
20241105;000000;104.3;104.4;101.08;102.13;19432838;3.32
20241106;000000;105;106.68;102.41;103.24;30612957;4.27
20241107;000000;103;104.1;100.24;103.73;24984015;3.86
20241108;000000;104.26;105.44;101.87;105.15;27146223;3.57
20241111;000000;106.16;108.9;105.03;108.57;29630726;3.87
20241112;000000;108.1;108.34;104.3;105.24;20607696;4.04
20241113;000000;105;106.39;102.87;103.05;22491974;3.52
20241114;000000;102.9;104.69;102.11;103.43;15765088;2.58
20241115;000000;103.29;105.34;102.21;105.18;16668992;3.13
20241118;000000;102.93;104.2;101.52;102.97;13902960;2.68
20241119;000000;102.7;103.12;97.52;98.56;28067932;5.6
