<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20240722;000000;181.86;184.78;177.24;179;1565510;7.54
20240723;000000;179.1;179.78;175.92;178.18;671740;3.86
20240724;000000;177.98;181.98;176.48;180.08;853140;5.5
20240725;000000;180.3;182;178.02;178.38;753710;3.98
20240726;000000;178.38;180.6;173;174.7;1458530;7.6
20240729;000000;173.62;174.32;165.96;166.44;1789940;8.36
20240730;000000;165.96;168.9;163;167.5;1612260;5.9
20240731;000000;167.72;169.98;165;167.7;682810;4.98
20240801;000000;167.94;169.48;164.68;166.42;700420;4.8
20240802;000000;166.36;166.36;161.5;165.12;875980;4.86
20240805;000000;163.46;163.94;159.04;160.38;1144990;4.9
20240806;000000;162;163.92;159;159.96;984890;4.92
20240807;000000;159.98;161.9;154.48;160.22;4012210;7.42
20240808;000000;160.82;160.82;155.3;156.2;2258910;5.52
20240809;000000;155.64;158.26;154.28;154.6;1841730;3.98
20240812;000000;153.94;154;150.62;151.5;3390220;3.38
20240813;000000;149.66;149.7;147.16;147.76;5549450;2.54
20240814;000000;147.8;150.88;145.04;145.2;3729090;5.84
20240815;000000;144.94;144.94;139;139.44;4545310;5.94
20240816;000000;139.62;141.3;137;138.08;3985640;4.3
20240819;000000;138;138.48;130.8;134.32;6904620;7.68
20240820;000000;134;134.12;129.5;131.08;4034530;4.62
20240821;000000;130.7;133.12;129.54;131.86;3265920;3.58
20240822;000000;132.18;132.9;121.6;124.52;5249740;11.3
20240823;000000;124.8;124.96;113.24;120.48;7243270;11.72
20240826;000000;125;127.78;120.74;126.86;4289510;7.04
20240827;000000;127.6;127.6;117.18;118.64;4161670;10.42
20240828;000000;118.36;118.6;108;113.1;7327120;10.6
20240829;000000;113.1;114.38;105.1;108.54;11529190;9.28
20240830;000000;108.54;109.88;102.56;103.66;5857080;7.32
20240902;000000;102.98;102.98;95.7;97.78;9378320;7.28
20240903;000000;97.42;104.38;93.12;100.78;16703200;11.26
20240904;000000;101.5;110;99.1;108.62;12488960;10.9
20240905;000000;109.9;112.78;104.24;108.26;12359100;8.54
20240906;000000;108.02;109.44;105.02;107.94;4934020;4.42
20240909;000000;108.94;111.88;107.5;110.92;5264800;4.38
20240910;000000;111.86;113.48;108.5;109.98;5476350;4.98
20240911;000000;109.66;110.74;103.3;104.18;5853540;7.44
20240912;000000;102.82;104.06;100;101.5;6625050;4.06
20240913;000000;102;102.86;94.94;101.62;11119950;7.92
20240916;000000;102.94;106.44;102.84;105.86;5453200;3.6
20240917;000000;106.5;107.64;102.86;106.72;4687350;4.78
20240918;000000;107.32;107.34;103.22;103.9;3012720;4.12
20240919;000000;104.66;107.32;103.36;106.48;2924750;3.96
20240920;000000;106.58;108.82;105.88;108.5;2863640;2.94
20240923;000000;110.84;119.66;110.66;119.52;21925420;9
20240924;000000;120.9;122.8;116.72;121.34;14679100;6.08
20240925;000000;120.94;122.98;117.3;118.32;8741160;5.68
20240926;000000;118.02;120.44;115.32;119.2;5687830;5.12
20240927;000000;119.04;121.5;118.38;120.38;2331470;3.12
20240930;000000;122.48;123.88;117.44;117.8;4353500;6.44
20241001;000000;117.74;118.68;114.1;115.12;5374630;4.58
20241002;000000;115.2;116.38;109.5;110.48;5678640;6.88
20241003;000000;110.48;114.74;108.02;114.36;6195460;6.72
20241004;000000;114.44;114.48;111.8;113.94;3402690;2.68
20241007;000000;114.84;116.74;112.32;113.3;6936550;4.42
20241008;000000;113.14;113.56;111.02;112.54;2118260;2.54
20241009;000000;112.68;113.38;111.1;112.4;2424560;2.28
20241010;000000;112.8;112.96;110.06;111.32;2204500;2.9
20241011;000000;111.36;112;110.1;111.84;1857450;1.9
20241014;000000;111.8;114.94;110.44;114.08;2843870;4.5
20241015;000000;114.22;117.52;113.92;114.54;4511970;3.6
20241016;000000;115.5;116.36;112.48;113.1;2076590;3.88
20241017;000000;113.54;113.96;111.1;111.2;1948130;2.86
20241018;000000;111.2;113.4;110.22;113.2;2427960;3.18
20241021;000000;113.22;114.46;111.5;111.84;1854410;2.96
20241022;000000;112.02;112.26;108.36;108.84;2929390;3.9
20241023;000000;108.78;108.78;105.06;105.36;2506350;3.72
20241024;000000;105.02;107.64;104;106.4;3610160;3.64
20241025;000000;106;108;103.12;105.24;5659390;4.88
20241028;000000;103.82;103.84;101.3;102.64;3280340;2.54
20241029;000000;102.8;105.44;101.5;104.84;3359850;3.94
20241030;000000;104.88;106.34;102.44;102.82;2125360;3.9
20241031;000000;102.18;103.08;101.04;101.5;1987190;2.04
20241101;000000;101.48;104.88;100.28;104.2;1784030;4.6
20241102;000000;104.08;105.44;102.66;104.48;919800;2.78
20241105;000000;104.44;105.34;103.52;105.34;1107120;1.82
20241106;000000;108;108.92;104.86;106.54;2457220;4.06
20241107;000000;106.94;109.62;105.82;109.42;1437600;3.8
20241108;000000;109.98;110.58;107.46;110.38;2192180;3.12
20241111;000000;110.96;111.6;109.5;110.3;1625420;2.1
20241112;000000;110.8;110.8;108.02;108.32;1754250;2.78
20241113;000000;108.28;111;107.3;108.02;2723610;3.7
20241114;000000;108.02;108.84;105.8;106.52;1339910;3.04
20241115;000000;106.48;109.5;105.32;109.46;1416140;4.18
20241118;000000;106.82;108.32;105.9;107.4;989730;2.42
20241119;000000;107.24;107.92;103.24;104.64;1643380;4.68
