<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20241030;000000;344.8;344.8;336.21;336.65;921270;8.59
20241031;000000;336.51;345.31;331;335.18;929940;14.31
20241101;000000;334.92;336.93;329.3;334.4;720780;7.63
20241102;000000;334.4;335.22;332.4;334.24;202170;2.82
20241105;000000;335.31;340.78;331.27;338;859720;9.51
20241106;000000;344.5;349.8;336.5;338.5;1395410;13.3
20241107;000000;338.72;341.73;333.06;341.05;645190;8.67
20241108;000000;343;354.84;339.45;351.82;1234610;15.39
20241111;000000;354.05;358.37;350.12;354.39;1137240;8.25
20241112;000000;355.55;355.55;340.68;342.3;895020;14.87
20241113;000000;342.47;352.41;342.14;346.9;932910;10.27
20241114;000000;346.89;354.75;345.15;349.58;779890;9.6
20241115;000000;349.18;353.97;347.56;353.97;358950;6.41
20241118;000000;349.95;353.99;345;347.8;735200;8.99
20241119;000000;348.03;348.62;333.37;337.79;969700;15.25
