<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20241101;000000;845.8;854.8;835;854.6;1893235;19.8
20241102;000000;856;870.2;851.4;868;824450;18.8
20241105;000000;869.2;873.6;860.4;867.2;1128488;13.2
20241106;000000;891.8;918;883;895.2;3593914;35
20241107;000000;895.2;924;883.8;923.2;1795698;40.2
20241108;000000;924.6;945.8;923.2;944.8;2392488;22.6
20241111;000000;950.2;957;935;944.6;1718276;22
20241112;000000;942.8;951.4;922.8;927.8;2146381;28.6
20241113;000000;926.8;936.8;897;902.4;2093345;39.8
20241114;000000;903;910.4;890;893.8;1714009;20.4
20241115;000000;896;922;890;917.8;1577217;32
20241118;000000;903.2;913.2;890.4;898.8;2095736;22.8
20241119;000000;898;901;869;875;2135998;32
20241120;000000;876;879.8;837;847.8;3239129;42.8
20241121;000000;849.4;870;837.4;864.8;2724199;32.6
20241122;000000;865.8;868;814.8;822.8;4087555;53.2
20241125;000000;823;831.6;805.6;822.8;4458430;26
20241126;000000;822.8;836.8;803;807.8;3461106;33.8
20241127;000000;809.2;828;777.2;828;4851185;50.8
20241128;000000;831.2;841.2;812;816.6;2691003;29.2
20241129;000000;816.6;839;815;835.6;1923778;24
20241202;000000;839;854.4;836.8;846.2;1914682;17.6
20241203;000000;847;847.6;828;834.4;667358;19.6
