<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20240513;000000;7726.5;7732;7676;7689;502892;56
20240514;000000;7692;7710;7670;7672;495668;40
20240515;000000;7676.5;7692;7640;7655.5;450751;52
20240516;000000;7655.5;7724.5;7633;7715;517693;91.5
20240517;000000;7730;7871.5;7729;7854.5;1010222;142.5
20240520;000000;7893;7938;7752;7834.5;861814;186
20240521;000000;7835.5;7900;7788;7848;735395;112
20240522;000000;7849.5;7879;7805;7820;438149;74
20240523;000000;7820.5;7861;7777.5;7841.5;498340;83.5
20240524;000000;7841;7858.5;7701;7720;853847;157.5
20240527;000000;7719.5;7750;7479;7541.5;1140531;271
20240528;000000;7557;7700;7431;7590;869716;269
20240529;000000;7600;7689;7582.5;7684;401053;106.5
20240530;000000;7698;7722.5;7551;7567;537288;171.5
20240531;000000;7567;7607;7301;7355.5;1154527;306
20240603;000000;7395;7479.5;7161;7252;1667040;318.5
20240604;000000;7248;7454.5;7185;7426;1043533;269.5
20240605;000000;7430.5;7544;7377;7412.5;752849;167
20240606;000000;7426.5;7478.5;7351;7398;406216;127.5
20240607;000000;7403;7599;7403;7489;1063003;196
20240610;000000;7518.5;7523.5;7261;7315;783642;262.5
20240611;000000;7315;7370;7235;7290;698202;135
20240613;000000;7050;7276;6923;7178.5;1262579;353
20240614;000000;7192;7403.5;7181.5;7368;735284;222
20240617;000000;7376;7390.5;7202;7203;610864;188.5
20240618;000000;7203.5;7234;6993.5;7036;1017900;240.5
20240619;000000;7044.5;7107.5;6806;6885;1392348;301.5
20240620;000000;6885.5;7171;6633.5;7112.5;4611639;537.5
20240621;000000;7124;7191.5;7024;7084;898961;167.5
20240624;000000;7070;7125;7032.5;7051.5;712700;92.5
20240625;000000;7075;7246.5;7002;7204;737974;244.5
20240626;000000;7221;7313;7194.5;7275;741161;118.5
20240627;000000;7280;7293;7161;7227;667392;132
20240628;000000;7226;7271.5;7172;7211;403538;99.5
20240701;000000;7210;7330;7190;7326;506189;140
20240702;000000;7335;7358;7285;7309.5;611741;73
20240703;000000;7320.5;7321;7220;7230.5;435862;101
20240704;000000;7224.5;7260;7080;7109.5;756976;180
20240705;000000;7110;7255;7035;7201;1424525;220
20240708;000000;7231;7255;7080.5;7097;682650;174.5
20240709;000000;7100;7121.5;6930;6941;911854;191.5
20240710;000000;6939;6978;6681;6689;1697291;297
20240711;000000;6689.5;6995.5;6681;6969.5;1319605;314.5
20240712;000000;6992.5;7046;6830.5;6908;776445;215.5
20240715;000000;6924;6925;6771;6827;782718;154
20240716;000000;6820;6898.5;6727.5;6881;952159;171
20240717;000000;6881;6905;6788;6814;576994;117
20240718;000000;6813;6950;6760;6931.5;554122;190
20240719;000000;6930;6991.5;6871.5;6913;615989;120
20240722;000000;6957.5;7025;6934.5;7008;748040;90.5
20240723;000000;7008.5;7023;6950;6973;493367;73
20240724;000000;6962.5;7025;6933;6939.5;736887;92
20240725;000000;6941;6965;6884.5;6902.5;433180;80.5
20240726;000000;6906;6984;6859.5;6890;1504749;124.5
20240729;000000;6891;6892.5;6706.5;6727.5;1643969;186
20240730;000000;6727;6830;6705;6805.5;1186395;125
20240731;000000;6822;6830;6731;6759.5;886871;99
20240801;000000;6759;6770;6678;6687;809177;92
20240802;000000;6680;6715;6577;6591;803288;138
20240805;000000;6495;6543.5;6336.5;6417.5;2080850;207
20240806;000000;6477;6498;6356;6447;857740;142
20240807;000000;6449.5;6548.5;6357.5;6505;1237102;191
20240808;000000;6515;6551.5;6403;6410.5;934120;148.5
20240809;000000;6420;6489.5;6385;6408.5;586528;104.5
20240812;000000;6406;6462;6311;6448.5;980170;151
20240813;000000;6461;6469.5;6410.5;6444.5;805551;59
20240814;000000;6449;6539;6371.5;6385;1230958;167.5
20240815;000000;6395;6418;6334;6347;687640;84
20240816;000000;6350.5;6360;6226.5;6239.5;887467;133.5
20240819;000000;6254.5;6284;6103.5;6138.5;1231451;180.5
20240820;000000;6140.5;6248;6050;6147.5;1503069;198
20240821;000000;6154.5;6325;6107;6309.5;1956847;218
20240822;000000;6314;6538.5;6278;6419;3932856;260.5
20240823;000000;6420;6472;6320;6428;1502560;152
20240826;000000;6590;6677;6506;6645;1887396;171
20240827;000000;6644;6680;6458;6526.5;1117345;222
20240828;000000;6520;6522.5;6302.5;6389;1519495;220
20240829;000000;6401;6411;6250.5;6324;1585370;160.5
20240830;000000;6330;6334;6118;6145;1547109;216
20240902;000000;6135;6205;6040.5;6115;2107448;164.5
20240903;000000;6150.5;6246.5;6069;6184;2087565;177.5
20240904;000000;6189;6297;6171;6265;1372944;126
20240905;000000;6284;6360;6235;6272;1046295;125
20240906;000000;6281.5;6357;6232;6332;883767;125
20240909;000000;6348.5;6525.5;6348.5;6520;1133830;177
20240910;000000;6536;6548.5;6376;6435;1045068;172.5
20240911;000000;6445;6500;6402;6413.5;963522;98
20240912;000000;6422.5;6448;6370.5;6448;1056307;77.5
20240913;000000;6451;6625;6304;6624.5;1568383;321
20240916;000000;6650.5;6824.5;6581.5;6820.5;1602651;243
20240917;000000;6846;6860;6742;6803;1063208;118
20240918;000000;6803.5;6831;6730.5;6745.5;826301;100.5
20240919;000000;6751;6830;6718;6811;1109744;112
20240920;000000;6816;6898;6812.5;6897.5;753258;85.5
20240923;000000;6899.5;7000;6899;6982.5;885780;101
20240924;000000;6988.5;7050.5;6865.5;6954.5;1011862;185
20240925;000000;6954.5;6990;6860;6867;823409;130
20240926;000000;6848;6890;6770;6890;858921;120
20240927;000000;6909;6946;6831.5;6914.5;550205;114.5
20240930;000000;6948;6972.5;6852;6874;708345;120.5
20241001;000000;6876;6995.5;6773.5;6969;1399003;222
20241002;000000;6968;6980;6781.5;6816.5;1021012;198.5
20241003;000000;6823;6957;6780.5;6956;1063151;176.5
20241004;000000;6957.5;7076.5;6925.5;7009;1210461;151
20241007;000000;7024;7066;6956;7055;962170;110
20241008;000000;7043;7055;6960.5;6973.5;747643;94.5
20241009;000000;6975;6991;6861;6883.5;967461;130
20241010;000000;6891;6904.5;6845;6857;1237538;59.5
20241011;000000;6857;6882.5;6792;6837;1510782;90.5
20241014;000000;6828;6947.5;6785;6931.5;1481412;162.5
20241015;000000;6912;7019;6878.5;6991;823474;140.5
20241016;000000;6997;7055;6928.5;6980;808783;126.5
20241017;000000;6982.5;7009;6924;6931.5;635655;85
20241018;000000;6924;6995.5;6906;6963;971124;89.5
20241021;000000;6979;7047;6963;7020;768888;84
20241022;000000;7019;7024;6945;6950;737864;79
20241023;000000;6945;7016.5;6910;6920;748890;106.5
20241024;000000;6920.5;6986;6890;6958.5;588930;96
20241025;000000;6970;7080;6721.5;6750.5;2636435;358.5
20241028;000000;6694;6785;6580;6733.5;2422426;205
20241029;000000;6749;6866;6708;6837;1160351;158
