<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR;IATR;0.2815;0.2102;0.1782;0.1598;0.1704
20241105;000000;48.51;48.68;47.8;48.54;14182470;0.88;1.598728;;;;;
20241106;000000;49.55;51.71;49.52;50.84;48548880;2.19;1.37701;;;;;
20241107;000000;50.74;52.23;50.2;52;25637260;2.03;1.542391;;;;;
20241108;000000;52.13;53.14;51.71;52.92;22949230;1.43;1.651083;;;;;
20241111;000000;53.5;53.75;52.76;53.06;19618990;0.99;1.568021;;;;;
20241112;000000;52.95;52.98;51.44;51.9;17207250;1.54;1.440931;;;;;
20241113;000000;51.85;52.7;51.12;51.24;13923550;1.58;1.594004;;;;;
20241114;000000;51.24;51.84;50.7;51.34;12268880;1.14;1.519322;;;;;
20241115;000000;51.45;53.43;51.22;53.22;19828920;2.21;1.329328;;;;;
20241118;000000;52.06;53.2;52;52.4;16781790;1.2;1.558087;;;;;
20241119;000000;52.07;52.75;50.5;50.81;19295800;2.25;1.52039;;;;;
